cod_programa_siconv,data_disponibilizacao,data_fim_beneficiario_especifico,data_fim_emenda_parlamentar,data_fim_recebimento_propostas,data_inicio_beneficiario_especifico,data_inicio_emenda_parlamentar,data_inicio_recebimento_propostas,nome,obriga_plano_trabalho,orgao_executor,orgao_mandatario,orgao_superior,orgao_vinculado
"2010120110057","2011-07-06",,,"2011-08-08",,,"2011-07-06","Estudos Hidroviários da Baixada Santista","True","20101",,"20000","20101"
"2010120110059","2011-09-09","2011-09-27",,,"2011-09-09",,,"Programa de Monitoramento e Acompanhamento das ações da Secretaria de Portos no Programa de Aceleração do Crescimento - PAC","True","20128",,"20000","20101"
"2010120110060","2011-11-29","2011-12-19",,,"2011-11-29",,,"8699 - Gerenciamento das Pol?ticas P?blicas de Juventude","True","20101",,"20000","20101"
"2010120120001","2012-04-24","2012-11-30",,,"2012-04-23",,,"Apoio aos Estados para Fortalecimento de Politicas Publicas de Juventude","True","20101",,"20000","20101"
"2010120120002","2012-09-27",,"2012-10-31",,,"2012-09-27",,"2E24 - Formulação, Desenvolvimento e Capacitação para a Participação Social (Município de Guarulhos) - Emenda Parlamentar","True","20101",,"20000","20101"
"2010120120005","2012-10-15",,,"2012-12-07",,,"2012-10-16","2044 - Estação Juventude - SNJ/SG/PR","True","20101",,"20000","20101"
"2010120120006","2012-11-05","2012-11-14",,,"2012-11-01",,,"2E24 - Formulação, Desenvolvimento e Capacitação para a Participação Social - Apoio ao FSM-PL","True","20101",,"20000","20101"
"2010120120007","2012-11-16","2012-12-16",,,"2012-11-16",,,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES,EMPREGADOS E SEUS DEPENDENTES - NACIONAL","True","20101",,"20000","20101"
"2011320060001","2008-11-18",,,"2010-07-01",,,"2005-05-02","Programa de Apoio à Modernização do Sistema de Controle Externo dos Estados, Distrito Federal e Municípios Brasileiros - PROMOEX","True","20113",,"20113","20113"
"2011320080001","2008-08-27",,,"2008-09-19",,,"2008-08-27","1008 -  Inclusão Digital / Ação Observatório Nacional de Inclusão Digital","False","20113",,"20113","20113"
"2011320080002","2008-10-20",,,"2008-12-31",,,"2008-08-02","1008 - Inclusão Digital - Ação 12BI - Implantação de Centro para Recondicionamento de Computadores (Projeto Computadores para Inclusão)","True","20113",,"20113","20113"
"2011320080004","2008-09-18",,,"2008-12-31",,,"2008-09-18","1008 - Inclusão Digital - Ação 2272 - Gestão e Administração do Programa","False","20113",,"20113","20113"
"2011320080007","2008-11-21",,,"2009-02-27",,,"2008-11-23","PROGRAMA NACIONAL DE APOIO À MODERNIZAÇÃO DA GESTÃO E DO PLANEJAMENTO DOS ESTADOS E DO DISTRITO FEDERAL ¿ PNAGE","True","20113","25220","20113","20113"
"2011320080008","2008-11-24",,,"2008-12-31",,,"2008-08-02","1008 - Inclusão Digital - Ação 8532 - Manutenção de Centro de Recondicionamento de Computadores / Projeto Computadores para Inclusão","True","20113",,"20113","20113"
"2011320080010","2008-11-27",,,"2009-12-31",,,"2008-11-27","Governo Eletronico / Ação: 8516 - Gestão do Sistema de Administração de Recursos de Informação e Informática - SISP","True","20113",,"20113","20113"
"2011320080012","2008-12-22",,,"2009-01-27",,,"2008-12-22","COMPRAS PÚBLICAS SUSTENTÁVIES","True","20113",,"20113","20113"
"2011320090002","2009-08-17",,,"2009-09-08",,,"2009-08-17","Compras Públicas - SIASG","False","20113",,"20113","20113"
"2011320090003","2009-08-17",,,"2009-09-08",,,"2009-08-17","Compras Públicas - SIASG","False","20113",,"20113","20113"
"2011320090004","2009-08-17",,,"2009-09-08",,,"2009-08-17","Compras Públicas - SIASG","False","20113",,"20113","20113"
"2011320090005","2009-08-21",,,"2009-09-21",,,"2009-08-21","0750 - APOIO ADMINISTRATIVO - ASSISTÊNCIA TÉCNICA AOS MUNICÍPIOS NO SICONV","True","20113",,"20113","20113"
"2011320090007","2009-09-09",,,"2009-12-31",,,"2009-09-09","1008 ¿ Inclusão Digital ¿ Ação 8532: Manutenção de Centro de Recondicionamento de Computadores (Projeto Computadores para Inclusão)","True","20113",,"20113","20113"
"2011320100003","2010-07-14","2010-07-17",,,"2010-07-14",,,"Rede Nacional de Formação para Inclusão Digital ¿ Polo Regional Nordeste - Programa 1008 / Ação 6272","True","20113",,"20113","20113"
"2011320100005","2010-12-10","2010-12-24",,,"2010-12-10",,,"Compras Públicas - SIASG","False","20113",,"20113","20113"
"2011320110001","2011-01-26","2011-01-27",,,"2011-01-26",,,"Compras Públicas - SIASG","True","20113",,"20113","20113"
"2012120080001","2008-08-29",,,"2008-12-04",,,"2008-07-01","1402 - Educação em Direitos Humanos - CONVÊNIOS","False","20101",,"20000","20121"
"2012120080002","2008-08-29",,,"2008-12-31",,,"2008-07-01","0073 - Enfrentamento da Violência Sexual contra Crianças e Adolescentes - CONVÊNIOS","False","20101",,"20000","20121"
"2012120080004","2008-08-29",,,"2008-12-04",,,"2008-07-01","0155 - Gestão da Política de Direitos Humanos - CONVÊNIOS","False","20101",,"20000","20121"
"2012120080005","2008-08-29",,,"2008-12-01",,,"2008-07-01","1078 - Programa Nacional de Acessibilidade - CONVÊNIOS","False","20101",,"20000","20121"
"2012120080009","2008-08-29",,,"2008-12-01",,,"2008-09-01","1401 - Reparação de Violações e Defesa dos Direitos Humanos - CONVÊNIOS","True","20101",,"20000","20121"
"2012120080010","2008-08-29",,,"2008-12-04",,,"2008-09-01","1404 - Promoção e Defesa dos Direitos da Pessoa Idosa - CONVÊNIOS","False","20101",,"20000","20121"
"2012120080026","2008-09-23",,,"2009-03-19",,,"2009-03-19","0154 - Garantia e Acesso a Direitos - CONVÊNIOS","False","20101",,"20000","20121"
"2012120080029","2008-10-06",,,"2008-12-01",,,"2008-07-01","0155 - Gestão da Política de Direitos Humanos - TERMOS DE PARCEIRA","False","20101",,"20000","20121"
"2012120080030","2008-10-06",,,"2008-12-30",,,"2008-09-01","0153 - Sistema de Garantia dos Direitos da Criança e do Adolescente - CONVÊNIOS","False","20101",,"20000","20121"
"2012120080031","2008-10-06",,,"2008-12-01",,,"2008-09-01","0153 - Sistema de Garantia dos Direitos da Criança e do Adolescente - TERMOS DE PARCERIA","False","20101",,"20000","20121"
"2012120080034","2008-10-07",,,"2008-12-01",,,"2008-09-01","0154 - Garantia e Acesso a Direitos - TERMOS DE PARCERIA","False","20101",,"20000","20121"
"2012120080035","2008-10-07",,,"2008-12-01",,,"2008-09-01","1078 - Programa Nacional de Acessibilidade - TERMOS DE PARCERIA","False","20101",,"20000","20121"
"2012120080037","2008-10-07",,,"2008-12-01",,,"2008-09-01","1401 - Reparação de Violações e Defesa dos Direitos Humanos - TERMOS DE PARCERIA","False","20101",,"20000","20121"
"2012120080038","2008-10-07",,,"2008-12-04",,,"2008-09-01","1404 - Promoção e Defesa dos Direitos da Pessoa Idosa - TERMOS DE PARCERIA","False","20101",,"20000","20121"
"2012120090001","2009-04-20",,,"2010-12-31",,,"2009-04-20","0153 - Sistema de Garantia dos Direitos da Criança e do Adolescente - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090002","2009-04-20",,,"2009-12-31",,,"2009-04-20","0153 - Sistema de Garantia dos Direitos da Criança e do Adolescente - TERMOS DE PARCERIA","False","20121",,"20000","20121"
"2012120090003","2009-04-20",,,"2009-12-31",,,"2009-04-20","0073 - Enfrentamento da Violência Sexual contra Crianças e Adolescentes - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090004","2009-04-20",,,"2009-12-31",,,"2009-04-20","0073 - Enfrentamento da Violência Sexual contra Crianças e Adolescentes - TERMOS DE PARCERIA","False","20121",,"20000","20121"
"2012120090005","2009-04-24",,,"2009-12-31",,,"2009-04-20","0152 - Sistema Nacional de Atendimento Socioeducativo ao Adolescente em Conflito com a Lei - Pró-Sinase - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090006","2009-04-24",,,"2011-02-18",,,"2009-04-22","0154 - Garantia e Acesso a Direitos - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090007","2009-04-24",,,"2009-12-31",,,"2009-04-23","0152 - Sistema Nacional de Atendimento Socioeducativo ao Adolescente em Conflito com a Lei - Pró-Sinase - TERMOS DE PARCERIA","False","20121",,"20000","20121"
"2012120090008","2009-04-24",,,"2009-12-31",,,"2009-04-23","0154 - Garantia e Acesso a Direitos - TERMOS DE PARCERIA","False","20121",,"20000","20121"
"2012120090009","2009-04-24",,,"2009-12-31",,,"2009-04-23","0155 - Gestão da Política de Direitos Humanos - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090010","2009-04-24",,,"2009-12-31",,,"2009-04-23","0155 - Gestão da Política de Direitos Humanos - TERMOS DE PARCEIRA","False","20121",,"20000","20121"
"2012120090011","2009-04-24",,,"2009-12-31",,,"2009-04-23","1078 - Programa Nacional de Acessibilidade - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090012","2009-04-24",,,"2009-11-30",,,"2009-04-23","1078 - Programa Nacional de Acessibilidade - TERMOS DE PARCERIA","False","20121",,"20000","20121"
"2012120090013","2009-04-24",,,"2009-12-21",,,"2009-04-23","1086 - Promoção e Defesa dos Direitos das Pessoas com Deficiência - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090014","2009-04-24",,,"2009-12-31",,,"2009-04-23","1086 - Promoção e Defesa dos Direitos das Pessoas com Deficiência - TERMOS DE PARCERIA","False","20121",,"20000","20121"
"2012120090015","2009-04-24",,,"2009-12-31",,,"2009-04-23","1401 - Reparação de Violações e Defesa dos Direitos Humanos - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090016","2009-04-24",,,"2009-12-31",,,"2009-04-23","1401 - Reparação de Violações e Defesa dos Direitos Humanos - TERMOS DE PARCERIA","False","20121",,"20000","20121"
"2012120090017","2009-04-24",,,"2009-12-31",,,"2009-04-23","1402 - Educação em Direitos Humanos - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090018","2009-04-24",,,"2009-12-31",,,"2009-04-23","1402 - Educação em Direitos Humanos - TERMO DE PARCERIA","False","20121",,"20000","20121"
"2012120090019","2009-04-24",,,"2009-12-31",,,"2009-04-24","1404 - Promoção e Defesa dos Direitos da Pessoa Idosa - CONVÊNIOS","False","20121",,"20000","20121"
"2012120090020","2009-04-24",,,"2009-12-31",,,"2009-04-24","1404 - Promoção e Defesa dos Direitos da Pessoa Idosa - TERMOS DE PARCERIA","False","20121",,"20000","20121"
"2012120090021","2009-08-20",,,"2009-10-30",,,"2009-08-21","EM - CORDE - 1086 - PROGRAMA DE DEFESA DOS DIREITOS DE PESSOAS COM DEFICIÊNCIA","True","20121",,"20000","20121"
"2012120090022","2009-08-20",,,"2009-11-20",,,"2009-08-21","1402 - Educação em Direitos Humanos - Termo da Parceria","True","20121",,"20000","20121"
"2012120090024","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 0154 - Garantia e Acesso a Direitos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090025","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 0154 - Garantia e Acesso a Direitos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090027","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 0154 - Garantia e Acesso a Direitos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090028","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090029","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - CORDE - 1086 - Promoção e Defesa dos Direitos das Pessoas com Deficiência - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090030","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 0154 - Garantia e Acesso a Direitos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090031","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 0154 - Garantia e Acesso a Direitos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090032","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - CONVÊNIO","True","20121",,"20000","20121"
"2012120090033","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDCA - 0073 - Enfrentamento da Violência Sexual contra Crianças e Adolescentes - Convênio","True","20121",,"20000","20121"
"2012120090034","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 0154 - Garantia e Acesso a Direitos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090035","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 0154 - Garantia e Acesso a Direitos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090036","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos  - Convênio","True","20121",,"20000","20121"
"2012120090037","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - Convênio","True","20121",,"20000","20121"
"2012120090039","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - Convênio","True","20121",,"20000","20121"
"2012120090040","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - Convênio","True","20121",,"20000","20121"
"2012120090041","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - Convênio","True","20121",,"20000","20121"
"2012120090042","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - Convênio","True","20121",,"20000","20121"
"2012120090043","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - Convênio","True","20121",,"20000","20121"
"2012120090044","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDDH - 1402 - Educação em Direitos Humanos - Convênio","True","20121",,"20000","20121"
"2012120090045","2009-10-17",,,"2011-02-25",,,"2009-10-19","EM - SPDDH - 0154 - Garantia e Acesso a Direitos - CONVÊNIOS","True","20121",,"20000","20121"
"2012120090046","2009-10-17",,,"2009-12-30",,,"2009-10-19","EM - SPDCA - 0073 - Enfrentamento da Violência Sexual contra Crianças e Adolescentes - Convênio","True","20121",,"20000","20121"
"2012120090047","2009-10-19",,,"2009-12-30",,,"2009-10-19","EM - CORDE - 1086 - Promoção e Defesa dos Direitos das Pessoas com Deficiência - CONVÊNIOS","True","20121",,"20000","20121"
